"Date Printed: Monday, January 20, 2025 7:25:28 PM"
Title: "AIDS deaths | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"AIDS deaths","2022","Ohio","39","313","3.1"
"AIDS deaths","2022","Oklahoma","40","114","3.4"
"AIDS deaths","2022","Oregon","41","140","3.8"
"AIDS deaths","2022","Pennsylvania","42","538","4.8"
"AIDS deaths","2022","Rhode Island","44","24","2.5"
"AIDS deaths","2022","South Carolina","45","230","5.1"
"AIDS deaths","2022","South Dakota","46","10","1.3"
"AIDS deaths","2022","Tennessee","47","316","5.3"
"AIDS deaths","2022","Texas","48","1,241","5.0"
"AIDS deaths","2022","Utah","49","20","0.7"
"AIDS deaths","2022","Vermont","50","6","1.1"
"AIDS deaths","2022","Virginia","51","256","3.5"
"AIDS deaths","2022","Washington","53","166","2.5"
"AIDS deaths","2022","West Virginia^","54","53","3.5"
"AIDS deaths","2022","Wisconsin","55","100","2.0"
"AIDS deaths","2022","Wyoming","56","3","0.6"
"AIDS deaths","2021","Alabama","01","246","5.8"
"AIDS deaths","2021","Alaska","02","17","2.8"
"AIDS deaths","2021","Arizona","04","265","4.3"
"AIDS deaths","2021","Arkansas","05","94","3.7"
"AIDS deaths","2021","California","06","1,672","5.1"
"AIDS deaths","2021","Colorado","08","148","3.0"
"AIDS deaths","2021","Connecticut","09","161","5.2"
"AIDS deaths","2021","Delaware","10","81","9.4"
"AIDS deaths","2021","District of Columbia","11","199","34.8"
"AIDS deaths","2021","Florida","12","1,879","10.0"
"AIDS deaths","2021","Georgia","13","764","8.4"
"AIDS deaths","2021","Hawaii","15","46","3.8"
"AIDS deaths","2021","Idaho","16","13","0.8"
"AIDS deaths","2021","Illinois","17","455","4.2"
"AIDS deaths","2021","Indiana","18","183","3.2"
"AIDS deaths","2021","Iowa","19","34","1.3"
"AIDS deaths","2021","Kansas","20","43","1.8"
"AIDS deaths","2021","Kentucky","21","102","2.7"
"AIDS deaths","2021","Louisiana","22","365","9.4"
"AIDS deaths","2021","Maine","23","31","2.6"
"AIDS deaths","2021","Maryland","24","518","9.9"
"AIDS deaths","2021","Massachusetts","25","243","4.0"
"AIDS deaths","2021","Michigan","26","246","2.9"
"AIDS deaths","2021","Minnesota","27","68","1.4"
"AIDS deaths","2021","Mississippi^","28","144","5.8"
"AIDS deaths","2021","Missouri","29","213","4.1"
"AIDS deaths","2021","Montana","30","8","0.8"
"AIDS deaths","2021","Nebraska","31","31","1.9"
"AIDS deaths","2021","Nevada","32","166","6.2"
"AIDS deaths","2021","New Hampshire","33","15","1.2"
"AIDS deaths","2021","New Jersey","34","554","7.0"
"AIDS deaths","2021","New Mexico","35","56","3.1"
"AIDS deaths","2021","New York","36","1,766","10.4"
"AIDS deaths","2021","North Carolina","37","453","5.1"
"AIDS deaths","2021","North Dakota","38","7","1.1"
"AIDS deaths","2021","Ohio","39","375","3.8"
"AIDS deaths","2021","Oklahoma","40","107","3.2"
"AIDS deaths","2021","Oregon","41","117","3.2"
"AIDS deaths","2021","Pennsylvania","42","554","5.0"
"AIDS deaths","2021","Rhode Island","44","29","3.0"
"AIDS deaths","2021","South Carolina","45","323","7.3"
"AIDS deaths","2021","South Dakota","46","15","2.0"
"AIDS deaths","2021","Tennessee","47","322","5.5"
"AIDS deaths","2021","Texas","48","1,359","5.6"
"AIDS deaths","2021","Utah","49","31","1.2"
"AIDS deaths","2021","Vermont","50","7","1.2"
"AIDS deaths","2021","Virginia","51","319","4.3"
"AIDS deaths","2021","Washington","53","159","2.4"
"AIDS deaths","2021","West Virginia^","54","41","2.7"
"AIDS deaths","2021","Wisconsin","55","69","1.4"
"AIDS deaths","2021","Wyoming","56","3","0.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alabama","01","185","4.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alaska","02","11","1.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arizona","04","206","3.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arkansas","05","81","3.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","California","06","1,586","4.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Colorado","08","120","2.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Connecticut","09","167","5.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Delaware","10","57","6.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","District of Columbia","11","199","34.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Florida","12","1,766","9.5"
"AIDS deaths","2020 (COVID-19 Pandemic)","Georgia","13","726","8.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Hawaii","15","29","2.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Idaho","16","10","0.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","Illinois","17","535","5.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","Indiana","18","164","2.9"
"AIDS deaths","2020 (COVID-19 Pandemic)","Iowa","19","50","1.9"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kansas","20","46","1.9"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kentucky","21","117","3.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Louisiana","22","340","8.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Maine","23","19","1.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","Maryland","24","496","9.5"
"AIDS deaths","2020 (COVID-19 Pandemic)","Massachusetts","25","234","3.9"
"AIDS deaths","2020 (COVID-19 Pandemic)","Michigan","26","261","3.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","Minnesota","27","69","1.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Mississippi^","28","172","7.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","Missouri","29","190","3.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","Montana","30","7","0.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nebraska","31","23","1.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nevada","32","149","5.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Hampshire","33","14","1.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Jersey","34","528","6.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Mexico","35","64","3.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","New York","36","1,956","11.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","North Carolina","37","439","5.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","North Dakota","38","7","1.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Ohio","39","323","3.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","Oklahoma","40","124","3.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Oregon","41","102","2.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Pennsylvania","42","518","4.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","Rhode Island","44","42","4.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","South Carolina","45","283","6.5"
"AIDS deaths","2020 (COVID-19 Pandemic)","South Dakota","46","3","0.4"
"AIDS deaths","2020 (COVID-19 Pandemic)","Tennessee","47","307","5.3"
"AIDS deaths","2020 (COVID-19 Pandemic)","Texas","48","1,211","5.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Utah","49","22","0.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Vermont","50","9","1.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","Virginia","51","295","4.0"
"AIDS deaths","2020 (COVID-19 Pandemic)","Washington","53","147","2.3"
"AIDS deaths","2020 (COVID-19 Pandemic)","West Virginia^","54","35","2.3"
"AIDS deaths","2020 (COVID-19 Pandemic)","Wisconsin","55","78","1.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","Wyoming","56","7","1.4"
"AIDS deaths","2019","Alabama","01","170","4.1"
"AIDS deaths","2019","Alaska","02","9","1.5"
"AIDS deaths","2019","Arizona","04","170","2.8"
"AIDS deaths","2019","Arkansas","05","78","3.1"
"AIDS deaths","2019","California","06","1,383","4.2"
"AIDS deaths","2019","Colorado","08","100","2.1"
"AIDS deaths","2019","Connecticut","09","168","5.5"
"AIDS deaths","2019","Delaware","10","62","7.5"
"AIDS deaths","2019","District of Columbia","11","149","24.6"
"AIDS deaths","2019","Florida","12","1,554","8.4"
"AIDS deaths","2019","Georgia","13","642","7.3"
"AIDS deaths","2019","Hawaii","15","39","3.3"
"AIDS deaths","2019","Idaho","16","11","0.7"
"AIDS deaths","2019","Illinois","17","414","3.9"
"AIDS deaths","2019","Indiana","18","130","2.3"
"AIDS deaths","2019","Iowa","19","45","1.7"
"AIDS deaths","2019","Kansas","20","42","1.7"
"AIDS deaths","2019","Kentucky","21","85","2.3"
"AIDS deaths","2019","Louisiana","22","297","7.7"
"AIDS deaths","2019","Maine","23","32","2.7"
"AIDS deaths","2019","Maryland","24","459","9.0"
"AIDS deaths","2019","Massachusetts","25","224","3.8"
"AIDS deaths","2019","Michigan","26","216","2.6"
"AIDS deaths","2019","Minnesota","27","58","1.2"
"AIDS deaths","2019","Mississippi^","28","134","5.4"
"AIDS deaths","2019","Missouri","29","168","3.3"
"AIDS deaths","2019","Montana","30","9","1.0"
"AIDS deaths","2019","Nebraska","31","17","1.1"
"AIDS deaths","2019","Nevada","32","119","4.6"
"AIDS deaths","2019","New Hampshire","33","14","1.2"
"AIDS deaths","2019","New Jersey","34","475","6.3"
"AIDS deaths","2019","New Mexico","35","38","2.2"
"AIDS deaths","2019","New York","36","1,448","8.7"
"AIDS deaths","2019","North Carolina","37","354","4.0"
"AIDS deaths","2019","North Dakota","38","5","0.8"
"AIDS deaths","2019","Ohio","39","277","2.8"
"AIDS deaths","2019","Oklahoma","40","120","3.7"
"AIDS deaths","2019","Oregon","41","105","2.9"
"AIDS deaths","2019","Pennsylvania","42","441","4.0"
"AIDS deaths","2019","Rhode Island","44","35","3.8"
"AIDS deaths","2019","South Carolina","45","233","5.3"
"AIDS deaths","2019","South Dakota","46","8","1.1"
"AIDS deaths","2019","Tennessee","47","245","4.3"
"AIDS deaths","2019","Texas","48","1,143","4.8"
"AIDS deaths","2019","Utah","49","31","1.2"
"AIDS deaths","2019","Vermont","50","10","1.8"
"AIDS deaths","2019","Virginia","51","255","3.5"
"AIDS deaths","2019","Washington","53","147","2.3"
"AIDS deaths","2019","West Virginia^","54","33","2.1"
"AIDS deaths","2019","Wisconsin","55","66","1.3"
"AIDS deaths","2019","Wyoming","56","4","0.8"
"AIDS deaths","2018","Alabama","01","168","4.1"
"AIDS deaths","2018","Alaska","02","8","1.3"
"AIDS deaths","2018","Arizona","04","200","3.3"
"AIDS deaths","2018","Arkansas","05","62","2.5"
"AIDS deaths","2018","California","06","1,415","4.3"
"AIDS deaths","2018","Colorado","08","114","2.4"
"AIDS deaths","2018","Connecticut","09","147","4.8"
"AIDS deaths","2018","Delaware","10","54","6.6"
"AIDS deaths","2018","District of Columbia","11","154","25.5"
"AIDS deaths","2018","Florida","12","1,536","8.4"
"AIDS deaths","2018","Georgia","13","660","7.6"
"AIDS deaths","2018","Hawaii","15","31","2.6"
"AIDS deaths","2018","Idaho","16","13","0.9"
"AIDS deaths","2018","Illinois","17","429","4.0"
"AIDS deaths","2018","Indiana","18","145","2.6"
"AIDS deaths","2018","Iowa","19","37","1.4"
"AIDS deaths","2018","Kansas","20","40","1.7"
"AIDS deaths","2018","Kentucky","21","101","2.7"
"AIDS deaths","2018","Louisiana","22","329","8.5"
"AIDS deaths","2018","Maine","23","16","1.4"
"AIDS deaths","2018","Maryland","24","503","9.9"
"AIDS deaths","2018","Massachusetts","25","230","3.9"
"AIDS deaths","2018","Michigan","26","241","2.8"
"AIDS deaths","2018","Minnesota","27","66","1.4"
"AIDS deaths","2018","Mississippi^","28","187","7.5"
"AIDS deaths","2018","Missouri","29","182","3.5"
"AIDS deaths","2018","Montana","30","10","1.1"
"AIDS deaths","2018","Nebraska","31","24","1.5"
"AIDS deaths","2018","Nevada","32","135","5.3"
"AIDS deaths","2018","New Hampshire","33","15","1.3"
"AIDS deaths","2018","New Jersey","34","472","6.3"
"AIDS deaths","2018","New Mexico","35","53","3.0"
"AIDS deaths","2018","New York","36","1,407","8.5"
"AIDS deaths","2018","North Carolina","37","362","4.1"
"AIDS deaths","2018","North Dakota","38","6","1.0"
"AIDS deaths","2018","Ohio","39","290","2.9"
"AIDS deaths","2018","Oklahoma","40","86","2.6"
"AIDS deaths","2018","Oregon","41","88","2.5"
"AIDS deaths","2018","Pennsylvania","42","420","3.8"
"AIDS deaths","2018","Rhode Island","44","32","3.5"
"AIDS deaths","2018","South Carolina","45","238","5.5"
"AIDS deaths","2018","South Dakota","46","12","1.7"
"AIDS deaths","2018","Tennessee","47","274","4.8"
"AIDS deaths","2018","Texas","48","1,108","4.8"
"AIDS deaths","2018","Utah","49","35","1.4"
"AIDS deaths","2018","Vermont","50","8","1.5"
"AIDS deaths","2018","Virginia","51","226","3.2"
"AIDS deaths","2018","Washington","53","169","2.7"
"AIDS deaths","2018","West Virginia^","54","39","2.5"
"AIDS deaths","2018","Wisconsin","55","65","1.3"
"AIDS deaths","2018","Wyoming","56","7","1.5"
