"Date Printed: Monday, January 20, 2025 7:23:15 PM"
Title: "HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV diagnoses","2022","Missouri","29","512","9.8"
"HIV diagnoses","2022","Montana","30","11","1.1"
"HIV diagnoses","2022","Nebraska","31","91","5.6"
"HIV diagnoses","2022","Nevada","32","528","19.6"
"HIV diagnoses","2022","New Hampshire","33","28","2.3"
"HIV diagnoses","2022","New Jersey","34","1,090","13.9"
"HIV diagnoses","2022","New Mexico","35","94","5.2"
"HIV diagnoses","2022","New York","36","2,226","13.2"
"HIV diagnoses","2022","North Carolina","37","1,353","14.9"
"HIV diagnoses","2022","North Dakota","38","38","5.9"
"HIV diagnoses","2022","Ohio","39","855","8.6"
"HIV diagnoses","2022","Oklahoma","40","394","11.8"
"HIV diagnoses","2022","Oregon","41","250","6.8"
"HIV diagnoses","2022","Pennsylvania","42","954","8.6"
"HIV diagnoses","2022","Rhode Island","44","68","7.1"
"HIV diagnoses","2022","South Carolina","45","717","15.9"
"HIV diagnoses","2022","South Dakota","46","40","5.3"
"HIV diagnoses","2022","Tennessee","47","860","14.4"
"HIV diagnoses","2022","Texas","48","4,896","19.8"
"HIV diagnoses","2022","Utah","49","155","5.7"
"HIV diagnoses","2022","Vermont","50","4","0.7"
"HIV diagnoses","2022","Virginia","51","834","11.3"
"HIV diagnoses","2022","Washington","53","491","7.4"
"HIV diagnoses","2022","West Virginia","54","136","8.9"
"HIV diagnoses","2022","Wisconsin","55","291","5.8"
"HIV diagnoses","2022","Wyoming","56","13","2.6"
"HIV diagnoses","2021","Alabama","01","661","15.5"
"HIV diagnoses","2021","Alaska","02","30","5.0"
"HIV diagnoses","2021","Arizona","04","775","12.6"
"HIV diagnoses","2021","Arkansas","05","334","13.2"
"HIV diagnoses","2021","California","06","4,539","13.7"
"HIV diagnoses","2021","Colorado","08","403","8.1"
"HIV diagnoses","2021","Connecticut","09","232","7.4"
"HIV diagnoses","2021","Delaware","10","82","9.5"
"HIV diagnoses","2021","District of Columbia","11","198","34.6"
"HIV diagnoses","2021","Florida","12","3,892","20.6"
"HIV diagnoses","2021","Georgia","13","2,285","25.3"
"HIV diagnoses","2021","Hawaii","15","71","5.8"
"HIV diagnoses","2021","Idaho","16","54","3.4"
"HIV diagnoses","2021","Illinois","17","1,195","11.1"
"HIV diagnoses","2021","Indiana","18","527","9.2"
"HIV diagnoses","2021","Iowa","19","124","4.6"
"HIV diagnoses","2021","Kansas","20","153","6.3"
"HIV diagnoses","2021","Kentucky","21","388","10.2"
"HIV diagnoses","2021","Louisiana","22","896","23.2"
"HIV diagnoses","2021","Maine","23","31","2.6"
"HIV diagnoses","2021","Maryland","24","735","14.1"
"HIV diagnoses","2021","Massachusetts","25","444","7.3"
"HIV diagnoses","2021","Michigan","26","641","7.5"
"HIV diagnoses","2021","Minnesota","27","296","6.2"
"HIV diagnoses","2021","Mississippi","28","427","17.3"
"HIV diagnoses","2021","Missouri","29","547","10.5"
"HIV diagnoses","2021","Montana","30","22","2.3"
"HIV diagnoses","2021","Nebraska","31","105","6.5"
"HIV diagnoses","2021","Nevada","32","502","18.9"
"HIV diagnoses","2021","New Hampshire","33","32","2.6"
"HIV diagnoses","2021","New Jersey","34","1,032","13.1"
"HIV diagnoses","2021","New Mexico","35","150","8.4"
"HIV diagnoses","2021","New York","36","2,117","12.5"
"HIV diagnoses","2021","North Carolina","37","1,389","15.5"
"HIV diagnoses","2021","North Dakota","38","38","5.9"
"HIV diagnoses","2021","Ohio","39","919","9.2"
"HIV diagnoses","2021","Oklahoma","40","385","11.6"
"HIV diagnoses","2021","Oregon","41","201","5.5"
"HIV diagnoses","2021","Pennsylvania","42","924","8.3"
"HIV diagnoses","2021","Rhode Island","44","68","7.1"
"HIV diagnoses","2021","South Carolina","45","648","14.7"
"HIV diagnoses","2021","South Dakota","46","31","4.2"
"HIV diagnoses","2021","Tennessee","47","830","14.1"
"HIV diagnoses","2021","Texas","48","4,510","18.5"
"HIV diagnoses","2021","Utah","49","134","5.0"
"HIV diagnoses","2021","Vermont","50","12","2.1"
"HIV diagnoses","2021","Virginia","51","793","10.8"
"HIV diagnoses","2021","Washington","53","460","7.0"
"HIV diagnoses","2021","West Virginia","54","150","9.8"
"HIV diagnoses","2021","Wisconsin","55","252","5.0"
"HIV diagnoses","2021","Wyoming","56","7","1.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","581","13.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","29","4.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arizona","04","648","10.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arkansas","05","245","9.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","California","06","4,097","12.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Colorado","08","326","6.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","173","5.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","91","10.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","District of Columbia","11","196","34.2"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Florida","12","3,166","17.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Georgia","13","1,968","21.9"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Hawaii","15","53","4.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Idaho","16","34","2.2"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Illinois","17","1,086","10.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Indiana","18","430","7.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Iowa","19","100","3.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kansas","20","142","5.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kentucky","21","301","7.9"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Louisiana","22","710","18.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Maine","23","15","1.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Maryland","24","708","13.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Massachusetts","25","428","7.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Michigan","26","519","6.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Minnesota","27","231","4.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Mississippi","28","405","16.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Missouri","29","367","7.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Montana","30","14","1.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nebraska","31","72","4.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nevada","32","394","15.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Hampshire","33","32","2.7"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Jersey","34","769","9.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Mexico","35","132","7.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New York","36","1,992","11.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","North Carolina","37","1,080","12.2"
"HIV diagnoses","2020 (COVID-19 Pandemic)","North Dakota","38","36","5.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Ohio","39","883","8.9"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Oklahoma","40","341","10.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Oregon","41","180","4.9"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Pennsylvania","42","788","7.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Rhode Island","44","53","5.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","South Carolina","45","655","15.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","South Dakota","46","37","5.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Tennessee","47","647","11.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Texas","48","3,616","15.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Utah","49","132","5.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Vermont","50","13","2.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Virginia","51","620","8.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Washington","53","416","6.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","West Virginia","54","139","9.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Wisconsin","55","213","4.3"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Wyoming","56","14","2.9"
"HIV diagnoses","2019","Alabama","01","632","15.3"
"HIV diagnoses","2019","Alaska","02","27","4.5"
"HIV diagnoses","2019","Arizona","04","733","12.0"
"HIV diagnoses","2019","Arkansas","05","288","11.4"
"HIV diagnoses","2019","California","06","4,571","13.8"
"HIV diagnoses","2019","Colorado","08","459","9.4"
"HIV diagnoses","2019","Connecticut","09","206","6.7"
"HIV diagnoses","2019","Delaware","10","93","11.2"
"HIV diagnoses","2019","District of Columbia","11","255","42.0"
"HIV diagnoses","2019","Florida","12","4,010","21.7"
"HIV diagnoses","2019","Georgia","13","2,418","27.3"
"HIV diagnoses","2019","Hawaii","15","64","5.4"
"HIV diagnoses","2019","Idaho","16","34","2.3"
"HIV diagnoses","2019","Illinois","17","1,295","12.1"
"HIV diagnoses","2019","Indiana","18","481","8.6"
"HIV diagnoses","2019","Iowa","19","100","3.8"
"HIV diagnoses","2019","Kansas","20","132","5.5"
"HIV diagnoses","2019","Kentucky","21","325","8.7"
"HIV diagnoses","2019","Louisiana","22","877","22.7"
"HIV diagnoses","2019","Maine","23","30","2.6"
"HIV diagnoses","2019","Maryland","24","913","17.9"
"HIV diagnoses","2019","Massachusetts","25","532","9.0"
"HIV diagnoses","2019","Michigan","26","674","8.0"
"HIV diagnoses","2019","Minnesota","27","274","5.8"
"HIV diagnoses","2019","Mississippi","28","467","18.8"
"HIV diagnoses","2019","Missouri","29","490","9.5"
"HIV diagnoses","2019","Montana","30","25","2.8"
"HIV diagnoses","2019","Nebraska","31","80","5.0"
"HIV diagnoses","2019","Nevada","32","517","20.0"
"HIV diagnoses","2019","New Hampshire","33","31","2.6"
"HIV diagnoses","2019","New Jersey","34","1,076","14.3"
"HIV diagnoses","2019","New Mexico","35","176","10.0"
"HIV diagnoses","2019","New York","36","2,369","14.3"
"HIV diagnoses","2019","North Carolina","37","1,356","15.3"
"HIV diagnoses","2019","North Dakota","38","39","6.2"
"HIV diagnoses","2019","Ohio","39","969","9.8"
"HIV diagnoses","2019","Oklahoma","40","345","10.5"
"HIV diagnoses","2019","Oregon","41","198","5.5"
"HIV diagnoses","2019","Pennsylvania","42","991","9.1"
"HIV diagnoses","2019","Rhode Island","44","72","7.9"
"HIV diagnoses","2019","South Carolina","45","721","16.5"
"HIV diagnoses","2019","South Dakota","46","34","4.7"
"HIV diagnoses","2019","Tennessee","47","767","13.3"
"HIV diagnoses","2019","Texas","48","4,370","18.5"
"HIV diagnoses","2019","Utah","49","137","5.4"
"HIV diagnoses","2019","Vermont","50","11","2.0"
"HIV diagnoses","2019","Virginia","51","833","11.5"
"HIV diagnoses","2019","Washington","53","478","7.5"
"HIV diagnoses","2019","West Virginia","54","153","9.9"
"HIV diagnoses","2019","Wisconsin","55","209","4.2"
"HIV diagnoses","2019","Wyoming","56","13","2.7"
"HIV diagnoses","2018","Alabama","01","606","14.7"
"HIV diagnoses","2018","Alaska","02","23","3.8"
"HIV diagnoses","2018","Arizona","04","753","12.6"
"HIV diagnoses","2018","Arkansas","05","279","11.1"
"HIV diagnoses","2018","California","06","4,808","14.6"
"HIV diagnoses","2018","Colorado","08","398","8.3"
"HIV diagnoses","2018","Connecticut","09","258","8.4"
"HIV diagnoses","2018","Delaware","10","92","11.2"
"HIV diagnoses","2018","District of Columbia","11","277","45.9"
"HIV diagnoses","2018","Florida","12","4,190","23.0"
"HIV diagnoses","2018","Georgia","13","2,498","28.6"
"HIV diagnoses","2018","Hawaii","15","72","6.0"
"HIV diagnoses","2018","Idaho","16","36","2.5"
"HIV diagnoses","2018","Illinois","17","1,375","12.9"
"HIV diagnoses","2018","Indiana","18","515","9.2"
"HIV diagnoses","2018","Iowa","19","115","4.4"
"HIV diagnoses","2018","Kansas","20","154","6.4"
"HIV diagnoses","2018","Kentucky","21","377","10.1"
"HIV diagnoses","2018","Louisiana","22","949","24.5"
"HIV diagnoses","2018","Maine","23","31","2.7"
"HIV diagnoses","2018","Maryland","24","989","19.5"
"HIV diagnoses","2018","Massachusetts","25","642","10.8"
"HIV diagnoses","2018","Michigan","26","717","8.5"
"HIV diagnoses","2018","Minnesota","27","286","6.1"
"HIV diagnoses","2018","Mississippi","28","474","19.1"
"HIV diagnoses","2018","Missouri","29","450","8.8"
"HIV diagnoses","2018","Montana","30","24","2.7"
"HIV diagnoses","2018","Nebraska","31","77","4.9"
"HIV diagnoses","2018","Nevada","32","498","19.7"
"HIV diagnoses","2018","New Hampshire","33","38","3.2"
"HIV diagnoses","2018","New Jersey","34","1,003","13.4"
"HIV diagnoses","2018","New Mexico","35","153","8.7"
"HIV diagnoses","2018","New York","36","2,461","14.8"
"HIV diagnoses","2018","North Carolina","37","1,183","13.5"
"HIV diagnoses","2018","North Dakota","38","36","5.8"
"HIV diagnoses","2018","Ohio","39","974","9.9"
"HIV diagnoses","2018","Oklahoma","40","277","8.5"
"HIV diagnoses","2018","Oregon","41","227","6.4"
"HIV diagnoses","2018","Pennsylvania","42","1,017","9.3"
"HIV diagnoses","2018","Rhode Island","44","75","8.2"
"HIV diagnoses","2018","South Carolina","45","726","16.9"
"HIV diagnoses","2018","South Dakota","46","29","4.0"
"HIV diagnoses","2018","Tennessee","47","740","13.0"
"HIV diagnoses","2018","Texas","48","4,421","19.0"
"HIV diagnoses","2018","Utah","49","123","5.0"
"HIV diagnoses","2018","Vermont","50","18","3.3"
"HIV diagnoses","2018","Virginia","51","859","12.0"
"HIV diagnoses","2018","Washington","53","497","7.9"
"HIV diagnoses","2018","West Virginia","54","92","6.0"
"HIV diagnoses","2018","Wisconsin","55","208","4.2"
"HIV diagnoses","2018","Wyoming","56","12","2.5"
