"Date Printed: Sunday, January 26, 2025 9:48:28 PM"
Title: "HIV prevalence | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alameda County, CA | Alpine County, CA | Amador County, CA | Butte County, CA | Calaveras County, CA | Colusa County, CA | Contra Costa County, CA | Del Norte County, CA | El Dorado County, CA | Fresno County, CA | Glenn County, CA | Humboldt County, CA | Imperial County, CA | Inyo County, CA | Kern County, CA | Kings County, CA | Lake County, CA | Lassen County, CA | Los Angeles County, CA | Madera County, CA | Marin County, CA | Mariposa County, CA | Mendocino County, CA | Merced County, CA | Modoc County, CA | Mono County, CA | Monterey County, CA | Napa County, CA | Nevada County, CA | Orange County, CA | Placer County, CA | Plumas County, CA | Riverside County, CA | Sacramento County, CA | San Benito County, CA | San Bernardino County, CA | San Diego County, CA | San Francisco County, CA | San Joaquin County, CA | San Luis Obispo County, CA | San Mateo County, CA | Santa Barbara County, CA | Santa Clara County, CA | Santa Cruz County, CA | Shasta County, CA | Sierra County, CA | Siskiyou County, CA | Solano County, CA | Sonoma County, CA | Stanislaus County, CA | Sutter County, CA | Tehama County, CA | Trinity County, CA | Tulare County, CA | Tuolumne County, CA | Ventura County, CA | Yolo County, CA | Yuba County, CA | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | White | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,State,County,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","507"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","959"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,778"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","69"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","27,563"
"HIV prevalence","2018","CA","Amador County","Amador County, CA","06005","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","763"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","3,005"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,993"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","21","719.1","2,920"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","40","132.7","30,153"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","395"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","White","Both sexes","All transmission categories","182","124.9","145,770"
"HIV prevalence","2018","CA","Butte County","Butte County, CA","06007","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","11","183.7","5,989"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","501"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","617"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","340"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,671"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","86"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","33,102"
"HIV prevalence","2018","CA","Calaveras County","Calaveras County, CA","06009","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,082"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","230"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","238"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","183"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","9,737"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","61"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","6,541"
"HIV prevalence","2018","CA","Colusa County","Colusa County, CA","06011","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","228"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","8","285.0","2,807"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","Asian","Both sexes","All transmission categories","124","72.1","171,877"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","764","895.4","85,327"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","642","278.4","230,605"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","6","132.6","4,525"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","White","Both sexes","All transmission categories","974","221.2","440,396"
"HIV prevalence","2018","CA","Contra Costa County","Contra Costa County, CA","06013","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","144","446.7","32,233"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,566"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","653"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","871"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,503"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","36"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","15,146"
"HIV prevalence","2018","CA","Del Norte County","Del Norte County, CA","06015","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","747"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","0","0.0","1,325"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","Asian","Both sexes","All transmission categories","6","80.4","7,467"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,475"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","31","161.0","19,252"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","262"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","White","Both sexes","All transmission categories","155","118.4","130,933"
"HIV prevalence","2018","CA","El Dorado County","El Dorado County, CA","06017","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","11","262.1","4,198"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","10","198.3","5,044"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","Asian","Both sexes","All transmission categories","67","81.0","82,730"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","275","747.4","36,797"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","1,089","274.9","396,156"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","6","547.6","1,096"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","White","Both sexes","All transmission categories","471","187.3","251,485"
"HIV prevalence","2018","CA","Fresno County","Fresno County, CA","06019","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","56","460.9","12,150"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","363"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","566"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","187"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,795"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","24"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","12,207"
"HIV prevalence","2018","CA","Glenn County","Glenn County, CA","06021","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","336"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","0","0.0","5,761"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","3,099"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","8","558.9","1,431"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","33","265.3","12,437"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","290"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","White","Both sexes","All transmission categories","146","162.3","89,959"
"HIV prevalence","2018","CA","Humboldt County","Humboldt County, CA","06023","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","24","506.1","4,742"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,145"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,927"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","6","143.4","4,183"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","284","239.9","118,367"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","0","0.0","103"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","White","Both sexes","All transmission categories","40","242.3","16,510"
"HIV prevalence","2018","CA","Imperial County","Imperial County, CA","06025","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","736"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,543"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","234"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","130"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","3,028"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","18"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","9,948"
"HIV prevalence","2018","CA","Inyo County","Inyo County, CA","06027","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","284"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","1","20.5","4,881"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","Asian","Both sexes","All transmission categories","17","47.7","35,668"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","226","596.7","37,872"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","921","257.1","358,158"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","0","0.0","929"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","White","Both sexes","All transmission categories","466","181.3","257,062"
"HIV prevalence","2018","CA","Kern County","Kern County, CA","06029","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","62","545.0","11,376"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","0","0.0","1,092"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,016"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","26","315.7","8,237"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","112","178.2","62,840"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","226"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","White","Both sexes","All transmission categories","38","91.9","41,357"
"HIV prevalence","2018","CA","Kings County","Kings County, CA","06031","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","7","330.2","2,120"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,251"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","683"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","9","937.2","960"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","24","238.2","10,077"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","0","0.0","125"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","White","Both sexes","All transmission categories","98","245.6","39,895"
"HIV prevalence","2018","CA","Lake County","Lake County, CA","06033","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","11","701.1","1,569"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","729"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","326"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,366"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,084"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","192"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","White","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,444"
"HIV prevalence","2018","CA","Lassen County","Lassen County, CA","06035","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","639"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","38","224.4","16,935"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","Asian","Both sexes","All transmission categories","1,637","125.0","1,309,920"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","8,843","1270.4","696,061"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","22,934","585.2","3,919,089"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","39","200.6","19,443"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","White","Both sexes","All transmission categories","12,467","525.1","2,374,286"
"HIV prevalence","2018","CA","Los Angeles County","Los Angeles County, CA","06037","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","2,939","1889.1","155,579"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,518"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","Asian","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,692"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","34","754.9","4,504"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","90","132.9","67,722"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","122"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","White","Both sexes","All transmission categories","48","102.3","46,932"
"HIV prevalence","2018","CA","Madera County","Madera County, CA","06039","Ages 13 years and older","Multiracial","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,758"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","American Indian/Alaska Native","Both sexes","All transmission categories","Data suppressed","Data suppressed","488"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","Asian","Both sexes","All transmission categories","17","118.2","14,383"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","Black/African American","Both sexes","All transmission categories","126","2145.9","5,872"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","Hispanic/Latino","Both sexes","All transmission categories","198","617.7","32,054"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","Native Hawaiian/Other Pacific Islander","Both sexes","All transmission categories","Data suppressed","Data suppressed","362"
"HIV prevalence","2018","CA","Marin County","Marin County, CA","06041","Ages 13 years and older","White","Both sexes","All transmission categories","407","246.3","165,262"
