"Date Printed: Monday, January 20, 2025 7:18:36 PM"
Title: "HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Transmission Category,Cases,Rate per 100000
"HIV diagnoses","2022","Illinois","17","Other","5","Data not available"
"HIV diagnoses","2022","Indiana","18","Heterosexual contact","140","Data not available"
"HIV diagnoses","2022","Indiana","18","Injection drug use","73","Data not available"
"HIV diagnoses","2022","Indiana","18","Male-to-male sexual contact","369","Data not available"
"HIV diagnoses","2022","Indiana","18","Male-to-male sexual contact and injection drug use","29","Data not available"
"HIV diagnoses","2022","Indiana","18","Other","2","Data not available"
"HIV diagnoses","2022","Iowa","19","Heterosexual contact","22","Data not available"
"HIV diagnoses","2022","Iowa","19","Injection drug use","9","Data not available"
"HIV diagnoses","2022","Iowa","19","Male-to-male sexual contact","74","Data not available"
"HIV diagnoses","2022","Iowa","19","Male-to-male sexual contact and injection drug use","18","Data not available"
"HIV diagnoses","2022","Iowa","19","Other","1","Data not available"
"HIV diagnoses","2022","Kansas","20","Heterosexual contact","16","Data not available"
"HIV diagnoses","2022","Kansas","20","Injection drug use","8","Data not available"
"HIV diagnoses","2022","Kansas","20","Male-to-male sexual contact","99","Data not available"
"HIV diagnoses","2022","Kansas","20","Male-to-male sexual contact and injection drug use","11","Data not available"
"HIV diagnoses","2022","Kansas","20","Other","0","Data not available"
"HIV diagnoses","2022","Kentucky","21","Heterosexual contact","55","Data not available"
"HIV diagnoses","2022","Kentucky","21","Injection drug use","72","Data not available"
"HIV diagnoses","2022","Kentucky","21","Male-to-male sexual contact","253","Data not available"
"HIV diagnoses","2022","Kentucky","21","Male-to-male sexual contact and injection drug use","26","Data not available"
"HIV diagnoses","2022","Kentucky","21","Other","0","Data not available"
"HIV diagnoses","2022","Louisiana","22","Heterosexual contact","224","Data not available"
"HIV diagnoses","2022","Louisiana","22","Injection drug use","86","Data not available"
"HIV diagnoses","2022","Louisiana","22","Male-to-male sexual contact","523","Data not available"
"HIV diagnoses","2022","Louisiana","22","Male-to-male sexual contact and injection drug use","23","Data not available"
"HIV diagnoses","2022","Louisiana","22","Other","1","Data not available"
"HIV diagnoses","2022","Maine","23","Heterosexual contact","15","Data not available"
"HIV diagnoses","2022","Maine","23","Injection drug use","4","Data not available"
"HIV diagnoses","2022","Maine","23","Male-to-male sexual contact","21","Data not available"
"HIV diagnoses","2022","Maine","23","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2022","Maine","23","Other","1","Data not available"
"HIV diagnoses","2022","Maryland","24","Heterosexual contact","271","Data not available"
"HIV diagnoses","2022","Maryland","24","Injection drug use","33","Data not available"
"HIV diagnoses","2022","Maryland","24","Male-to-male sexual contact","433","Data not available"
"HIV diagnoses","2022","Maryland","24","Male-to-male sexual contact and injection drug use","10","Data not available"
"HIV diagnoses","2022","Maryland","24","Other","2","Data not available"
"HIV diagnoses","2022","Massachusetts","25","Heterosexual contact","124","Data not available"
"HIV diagnoses","2022","Massachusetts","25","Injection drug use","71","Data not available"
"HIV diagnoses","2022","Massachusetts","25","Male-to-male sexual contact","221","Data not available"
"HIV diagnoses","2022","Massachusetts","25","Male-to-male sexual contact and injection drug use","20","Data not available"
"HIV diagnoses","2022","Massachusetts","25","Other","2","Data not available"
"HIV diagnoses","2022","Michigan","26","Heterosexual contact","103","Data not available"
"HIV diagnoses","2022","Michigan","26","Injection drug use","32","Data not available"
"HIV diagnoses","2022","Michigan","26","Male-to-male sexual contact","473","Data not available"
"HIV diagnoses","2022","Michigan","26","Male-to-male sexual contact and injection drug use","20","Data not available"
"HIV diagnoses","2022","Michigan","26","Other","1","Data not available"
"HIV diagnoses","2022","Minnesota","27","Heterosexual contact","50","Data not available"
"HIV diagnoses","2022","Minnesota","27","Injection drug use","25","Data not available"
"HIV diagnoses","2022","Minnesota","27","Male-to-male sexual contact","168","Data not available"
"HIV diagnoses","2022","Minnesota","27","Male-to-male sexual contact and injection drug use","16","Data not available"
"HIV diagnoses","2022","Minnesota","27","Other","2","Data not available"
"HIV diagnoses","2022","Mississippi","28","Heterosexual contact","105","Data not available"
"HIV diagnoses","2022","Mississippi","28","Injection drug use","21","Data not available"
"HIV diagnoses","2022","Mississippi","28","Male-to-male sexual contact","308","Data not available"
"HIV diagnoses","2022","Mississippi","28","Male-to-male sexual contact and injection drug use","13","Data not available"
"HIV diagnoses","2022","Mississippi","28","Other","1","Data not available"
"HIV diagnoses","2022","Missouri","29","Heterosexual contact","141","Data not available"
"HIV diagnoses","2022","Missouri","29","Injection drug use","48","Data not available"
"HIV diagnoses","2022","Missouri","29","Male-to-male sexual contact","303","Data not available"
"HIV diagnoses","2022","Missouri","29","Male-to-male sexual contact and injection drug use","18","Data not available"
"HIV diagnoses","2022","Missouri","29","Other","3","Data not available"
"HIV diagnoses","2022","Montana","30","Heterosexual contact","0","Data not available"
"HIV diagnoses","2022","Montana","30","Injection drug use","2","Data not available"
"HIV diagnoses","2022","Montana","30","Male-to-male sexual contact","8","Data not available"
"HIV diagnoses","2022","Montana","30","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2022","Montana","30","Other","0","Data not available"
"HIV diagnoses","2022","Nebraska","31","Heterosexual contact","20","Data not available"
"HIV diagnoses","2022","Nebraska","31","Injection drug use","10","Data not available"
"HIV diagnoses","2022","Nebraska","31","Male-to-male sexual contact","55","Data not available"
"HIV diagnoses","2022","Nebraska","31","Male-to-male sexual contact and injection drug use","6","Data not available"
"HIV diagnoses","2022","Nebraska","31","Other","0","Data not available"
"HIV diagnoses","2022","Nevada","32","Heterosexual contact","88","Data not available"
"HIV diagnoses","2022","Nevada","32","Injection drug use","30","Data not available"
"HIV diagnoses","2022","Nevada","32","Male-to-male sexual contact","379","Data not available"
"HIV diagnoses","2022","Nevada","32","Male-to-male sexual contact and injection drug use","30","Data not available"
"HIV diagnoses","2022","Nevada","32","Other","1","Data not available"
"HIV diagnoses","2022","New Hampshire","33","Heterosexual contact","6","Data not available"
"HIV diagnoses","2022","New Hampshire","33","Injection drug use","5","Data not available"
"HIV diagnoses","2022","New Hampshire","33","Male-to-male sexual contact","16","Data not available"
"HIV diagnoses","2022","New Hampshire","33","Male-to-male sexual contact and injection drug use","0","Data not available"
"HIV diagnoses","2022","New Hampshire","33","Other","0","Data not available"
"HIV diagnoses","2022","New Jersey","34","Heterosexual contact","302","Data not available"
"HIV diagnoses","2022","New Jersey","34","Injection drug use","84","Data not available"
"HIV diagnoses","2022","New Jersey","34","Male-to-male sexual contact","677","Data not available"
"HIV diagnoses","2022","New Jersey","34","Male-to-male sexual contact and injection drug use","21","Data not available"
"HIV diagnoses","2022","New Jersey","34","Other","7","Data not available"
"HIV diagnoses","2022","New Mexico","35","Heterosexual contact","14","Data not available"
"HIV diagnoses","2022","New Mexico","35","Injection drug use","8","Data not available"
"HIV diagnoses","2022","New Mexico","35","Male-to-male sexual contact","61","Data not available"
"HIV diagnoses","2022","New Mexico","35","Male-to-male sexual contact and injection drug use","10","Data not available"
"HIV diagnoses","2022","New Mexico","35","Other","1","Data not available"
"HIV diagnoses","2022","New York","36","Heterosexual contact","501","Data not available"
"HIV diagnoses","2022","New York","36","Injection drug use","174","Data not available"
"HIV diagnoses","2022","New York","36","Male-to-male sexual contact","1,508","Data not available"
"HIV diagnoses","2022","New York","36","Male-to-male sexual contact and injection drug use","36","Data not available"
"HIV diagnoses","2022","New York","36","Other","7","Data not available"
"HIV diagnoses","2022","North Carolina","37","Heterosexual contact","285","Data not available"
"HIV diagnoses","2022","North Carolina","37","Injection drug use","72","Data not available"
"HIV diagnoses","2022","North Carolina","37","Male-to-male sexual contact","942","Data not available"
"HIV diagnoses","2022","North Carolina","37","Male-to-male sexual contact and injection drug use","52","Data not available"
"HIV diagnoses","2022","North Carolina","37","Other","2","Data not available"
"HIV diagnoses","2022","North Dakota","38","Heterosexual contact","11","Data not available"
"HIV diagnoses","2022","North Dakota","38","Injection drug use","3","Data not available"
"HIV diagnoses","2022","North Dakota","38","Male-to-male sexual contact","21","Data not available"
"HIV diagnoses","2022","North Dakota","38","Male-to-male sexual contact and injection drug use","4","Data not available"
"HIV diagnoses","2022","North Dakota","38","Other","1","Data not available"
"HIV diagnoses","2022","Ohio","39","Heterosexual contact","190","Data not available"
"HIV diagnoses","2022","Ohio","39","Injection drug use","92","Data not available"
"HIV diagnoses","2022","Ohio","39","Male-to-male sexual contact","530","Data not available"
"HIV diagnoses","2022","Ohio","39","Male-to-male sexual contact and injection drug use","39","Data not available"
"HIV diagnoses","2022","Ohio","39","Other","4","Data not available"
"HIV diagnoses","2022","Oklahoma","40","Heterosexual contact","78","Data not available"
"HIV diagnoses","2022","Oklahoma","40","Injection drug use","47","Data not available"
"HIV diagnoses","2022","Oklahoma","40","Male-to-male sexual contact","240","Data not available"
"HIV diagnoses","2022","Oklahoma","40","Male-to-male sexual contact and injection drug use","30","Data not available"
"HIV diagnoses","2022","Oklahoma","40","Other","0","Data not available"
"HIV diagnoses","2022","Oregon","41","Heterosexual contact","38","Data not available"
"HIV diagnoses","2022","Oregon","41","Injection drug use","35","Data not available"
"HIV diagnoses","2022","Oregon","41","Male-to-male sexual contact","147","Data not available"
"HIV diagnoses","2022","Oregon","41","Male-to-male sexual contact and injection drug use","30","Data not available"
"HIV diagnoses","2022","Oregon","41","Other","0","Data not available"
"HIV diagnoses","2022","Pennsylvania","42","Heterosexual contact","232","Data not available"
"HIV diagnoses","2022","Pennsylvania","42","Injection drug use","124","Data not available"
"HIV diagnoses","2022","Pennsylvania","42","Male-to-male sexual contact","555","Data not available"
"HIV diagnoses","2022","Pennsylvania","42","Male-to-male sexual contact and injection drug use","42","Data not available"
"HIV diagnoses","2022","Pennsylvania","42","Other","2","Data not available"
"HIV diagnoses","2022","Rhode Island","44","Heterosexual contact","14","Data not available"
"HIV diagnoses","2022","Rhode Island","44","Injection drug use","6","Data not available"
"HIV diagnoses","2022","Rhode Island","44","Male-to-male sexual contact","45","Data not available"
"HIV diagnoses","2022","Rhode Island","44","Male-to-male sexual contact and injection drug use","3","Data not available"
"HIV diagnoses","2022","Rhode Island","44","Other","0","Data not available"
"HIV diagnoses","2022","South Carolina","45","Heterosexual contact","163","Data not available"
"HIV diagnoses","2022","South Carolina","45","Injection drug use","41","Data not available"
"HIV diagnoses","2022","South Carolina","45","Male-to-male sexual contact","495","Data not available"
"HIV diagnoses","2022","South Carolina","45","Male-to-male sexual contact and injection drug use","16","Data not available"
"HIV diagnoses","2022","South Carolina","45","Other","1","Data not available"
"HIV diagnoses","2022","South Dakota","46","Heterosexual contact","11","Data not available"
"HIV diagnoses","2022","South Dakota","46","Injection drug use","9","Data not available"
"HIV diagnoses","2022","South Dakota","46","Male-to-male sexual contact","17","Data not available"
"HIV diagnoses","2022","South Dakota","46","Male-to-male sexual contact and injection drug use","4","Data not available"
"HIV diagnoses","2022","South Dakota","46","Other","0","Data not available"
"HIV diagnoses","2022","Tennessee","47","Heterosexual contact","167","Data not available"
"HIV diagnoses","2022","Tennessee","47","Injection drug use","103","Data not available"
"HIV diagnoses","2022","Tennessee","47","Male-to-male sexual contact","556","Data not available"
"HIV diagnoses","2022","Tennessee","47","Male-to-male sexual contact and injection drug use","33","Data not available"
"HIV diagnoses","2022","Tennessee","47","Other","1","Data not available"
"HIV diagnoses","2022","Texas","48","Heterosexual contact","941","Data not available"
"HIV diagnoses","2022","Texas","48","Injection drug use","269","Data not available"
"HIV diagnoses","2022","Texas","48","Male-to-male sexual contact","3,523","Data not available"
"HIV diagnoses","2022","Texas","48","Male-to-male sexual contact and injection drug use","158","Data not available"
"HIV diagnoses","2022","Texas","48","Other","7","Data not available"
"HIV diagnoses","2022","Utah","49","Heterosexual contact","20","Data not available"
"HIV diagnoses","2022","Utah","49","Injection drug use","8","Data not available"
"HIV diagnoses","2022","Utah","49","Male-to-male sexual contact","118","Data not available"
"HIV diagnoses","2022","Utah","49","Male-to-male sexual contact and injection drug use","9","Data not available"
"HIV diagnoses","2022","Utah","49","Other","1","Data not available"
"HIV diagnoses","2022","Vermont","50","Heterosexual contact","1","Data not available"
"HIV diagnoses","2022","Vermont","50","Injection drug use","1","Data not available"
"HIV diagnoses","2022","Vermont","50","Male-to-male sexual contact","2","Data not available"
"HIV diagnoses","2022","Vermont","50","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2022","Vermont","50","Other","0","Data not available"
"HIV diagnoses","2022","Virginia","51","Heterosexual contact","173","Data not available"
"HIV diagnoses","2022","Virginia","51","Injection drug use","43","Data not available"
"HIV diagnoses","2022","Virginia","51","Male-to-male sexual contact","587","Data not available"
"HIV diagnoses","2022","Virginia","51","Male-to-male sexual contact and injection drug use","31","Data not available"
"HIV diagnoses","2022","Virginia","51","Other","1","Data not available"
"HIV diagnoses","2022","Washington","53","Heterosexual contact","97","Data not available"
"HIV diagnoses","2022","Washington","53","Injection drug use","35","Data not available"
"HIV diagnoses","2022","Washington","53","Male-to-male sexual contact","329","Data not available"
"HIV diagnoses","2022","Washington","53","Male-to-male sexual contact and injection drug use","28","Data not available"
"HIV diagnoses","2022","Washington","53","Other","3","Data not available"
"HIV diagnoses","2022","West Virginia","54","Heterosexual contact","16","Data not available"
"HIV diagnoses","2022","West Virginia","54","Injection drug use","92","Data not available"
"HIV diagnoses","2022","West Virginia","54","Male-to-male sexual contact","22","Data not available"
"HIV diagnoses","2022","West Virginia","54","Male-to-male sexual contact and injection drug use","6","Data not available"
"HIV diagnoses","2022","West Virginia","54","Other","0","Data not available"
"HIV diagnoses","2022","Wisconsin","55","Heterosexual contact","58","Data not available"
"HIV diagnoses","2022","Wisconsin","55","Injection drug use","18","Data not available"
"HIV diagnoses","2022","Wisconsin","55","Male-to-male sexual contact","202","Data not available"
"HIV diagnoses","2022","Wisconsin","55","Male-to-male sexual contact and injection drug use","13","Data not available"
"HIV diagnoses","2022","Wisconsin","55","Other","1","Data not available"
"HIV diagnoses","2022","Wyoming","56","Heterosexual contact","1","Data not available"
"HIV diagnoses","2022","Wyoming","56","Injection drug use","1","Data not available"
"HIV diagnoses","2022","Wyoming","56","Male-to-male sexual contact","7","Data not available"
"HIV diagnoses","2022","Wyoming","56","Male-to-male sexual contact and injection drug use","4","Data not available"
"HIV diagnoses","2022","Wyoming","56","Other","0","Data not available"
"HIV diagnoses","2021","Alabama","01","Heterosexual contact","154","Data not available"
"HIV diagnoses","2021","Alabama","01","Injection drug use","26","Data not available"
"HIV diagnoses","2021","Alabama","01","Male-to-male sexual contact","468","Data not available"
"HIV diagnoses","2021","Alabama","01","Male-to-male sexual contact and injection drug use","13","Data not available"
"HIV diagnoses","2021","Alabama","01","Other","1","Data not available"
"HIV diagnoses","2021","Alaska","02","Heterosexual contact","4","Data not available"
"HIV diagnoses","2021","Alaska","02","Injection drug use","2","Data not available"
"HIV diagnoses","2021","Alaska","02","Male-to-male sexual contact","22","Data not available"
"HIV diagnoses","2021","Alaska","02","Male-to-male sexual contact and injection drug use","2","Data not available"
"HIV diagnoses","2021","Alaska","02","Other","0","Data not available"
"HIV diagnoses","2021","Arizona","04","Heterosexual contact","115","Data not available"
"HIV diagnoses","2021","Arizona","04","Injection drug use","39","Data not available"
"HIV diagnoses","2021","Arizona","04","Male-to-male sexual contact","558","Data not available"
"HIV diagnoses","2021","Arizona","04","Male-to-male sexual contact and injection drug use","57","Data not available"
"HIV diagnoses","2021","Arizona","04","Other","7","Data not available"
"HIV diagnoses","2021","Arkansas","05","Heterosexual contact","84","Data not available"
"HIV diagnoses","2021","Arkansas","05","Injection drug use","13","Data not available"
"HIV diagnoses","2021","Arkansas","05","Male-to-male sexual contact","227","Data not available"
"HIV diagnoses","2021","Arkansas","05","Male-to-male sexual contact and injection drug use","10","Data not available"
"HIV diagnoses","2021","Arkansas","05","Other","1","Data not available"
"HIV diagnoses","2021","California","06","Heterosexual contact","546","Data not available"
"HIV diagnoses","2021","California","06","Injection drug use","332","Data not available"
"HIV diagnoses","2021","California","06","Male-to-male sexual contact","3,448","Data not available"
"HIV diagnoses","2021","California","06","Male-to-male sexual contact and injection drug use","209","Data not available"
"HIV diagnoses","2021","California","06","Other","5","Data not available"
"HIV diagnoses","2021","Colorado","08","Heterosexual contact","60","Data not available"
"HIV diagnoses","2021","Colorado","08","Injection drug use","19","Data not available"
"HIV diagnoses","2021","Colorado","08","Male-to-male sexual contact","280","Data not available"
"HIV diagnoses","2021","Colorado","08","Male-to-male sexual contact and injection drug use","43","Data not available"
"HIV diagnoses","2021","Colorado","08","Other","0","Data not available"
"HIV diagnoses","2021","Connecticut","09","Heterosexual contact","67","Data not available"
"HIV diagnoses","2021","Connecticut","09","Injection drug use","19","Data not available"
"HIV diagnoses","2021","Connecticut","09","Male-to-male sexual contact","140","Data not available"
"HIV diagnoses","2021","Connecticut","09","Male-to-male sexual contact and injection drug use","5","Data not available"
"HIV diagnoses","2021","Connecticut","09","Other","0","Data not available"
"HIV diagnoses","2021","Delaware","10","Heterosexual contact","22","Data not available"
"HIV diagnoses","2021","Delaware","10","Injection drug use","6","Data not available"
"HIV diagnoses","2021","Delaware","10","Male-to-male sexual contact","52","Data not available"
"HIV diagnoses","2021","Delaware","10","Male-to-male sexual contact and injection drug use","1","Data not available"
"HIV diagnoses","2021","Delaware","10","Other","0","Data not available"
"HIV diagnoses","2021","District of Columbia","11","Heterosexual contact","51","Data not available"
"HIV diagnoses","2021","District of Columbia","11","Injection drug use","9","Data not available"
"HIV diagnoses","2021","District of Columbia","11","Male-to-male sexual contact","131","Data not available"
"HIV diagnoses","2021","District of Columbia","11","Male-to-male sexual contact and injection drug use","6","Data not available"
"HIV diagnoses","2021","District of Columbia","11","Other","0","Data not available"
"HIV diagnoses","2021","Florida","12","Heterosexual contact","1,267","Data not available"
"HIV diagnoses","2021","Florida","12","Injection drug use","197","Data not available"
"HIV diagnoses","2021","Florida","12","Male-to-male sexual contact","2,337","Data not available"
"HIV diagnoses","2021","Florida","12","Male-to-male sexual contact and injection drug use","91","Data not available"
"HIV diagnoses","2021","Florida","12","Other","1","Data not available"
"HIV diagnoses","2021","Georgia","13","Heterosexual contact","611","Data not available"
"HIV diagnoses","2021","Georgia","13","Injection drug use","69","Data not available"
"HIV diagnoses","2021","Georgia","13","Male-to-male sexual contact","1,560","Data not available"
"HIV diagnoses","2021","Georgia","13","Male-to-male sexual contact and injection drug use","43","Data not available"
"HIV diagnoses","2021","Georgia","13","Other","2","Data not available"
"HIV diagnoses","2021","Hawaii","15","Heterosexual contact","11","Data not available"
"HIV diagnoses","2021","Hawaii","15","Injection drug use","14","Data not available"
"HIV diagnoses","2021","Hawaii","15","Male-to-male sexual contact","44","Data not available"
"HIV diagnoses","2021","Hawaii","15","Male-to-male sexual contact and injection drug use","3","Data not available"
"HIV diagnoses","2021","Hawaii","15","Other","0","Data not available"
"HIV diagnoses","2021","Idaho","16","Heterosexual contact","8","Data not available"
"HIV diagnoses","2021","Idaho","16","Injection drug use","4","Data not available"
"HIV diagnoses","2021","Idaho","16","Male-to-male sexual contact","38","Data not available"
"HIV diagnoses","2021","Idaho","16","Male-to-male sexual contact and injection drug use","3","Data not available"
"HIV diagnoses","2021","Idaho","16","Other","0","Data not available"
"HIV diagnoses","2021","Illinois","17","Heterosexual contact","240","Data not available"
"HIV diagnoses","2021","Illinois","17","Injection drug use","64","Data not available"
"HIV diagnoses","2021","Illinois","17","Male-to-male sexual contact","859","Data not available"
"HIV diagnoses","2021","Illinois","17","Male-to-male sexual contact and injection drug use","27","Data not available"
"HIV diagnoses","2021","Illinois","17","Other","5","Data not available"
"HIV diagnoses","2021","Indiana","18","Heterosexual contact","114","Data not available"
"HIV diagnoses","2021","Indiana","18","Injection drug use","46","Data not available"
