"Date Printed: Monday, January 20, 2025 7:14:36 PM"
Title: "HIV prevalence | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV prevalence","2022","Indiana","18","12,781","223.0"
"HIV prevalence","2022","Iowa","19","3,216","119.4"
"HIV prevalence","2022","Kansas","20","3,616","147.4"
"HIV prevalence","2022","Kentucky","21","8,464","222.5"
"HIV prevalence","2022","Louisiana","22","21,816","568.3"
"HIV prevalence","2022","Maine","23","1,774","146.1"
"HIV prevalence","2022","Maryland","24","33,580","643.8"
"HIV prevalence","2022","Massachusetts","25","21,336","352.7"
"HIV prevalence","2022","Michigan","26","17,596","205.5"
"HIV prevalence","2022","Minnesota","27","9,467","196.9"
"HIV prevalence","2022","Mississippi^","28","9,915","401.2"
"HIV prevalence","2022","Missouri","29","13,271","254.3"
"HIV prevalence","2022","Montana","30","722","75.3"
"HIV prevalence","2022","Nebraska","31","2,429","148.9"
"HIV prevalence","2022","Nevada","32","11,750","436.0"
"HIV prevalence","2022","New Hampshire","33","1,385","113.4"
"HIV prevalence","2022","New Jersey","34","35,360","449.7"
"HIV prevalence","2022","New Mexico","35","4,032","224.3"
"HIV prevalence","2022","New York","36","124,940","741.9"
"HIV prevalence","2022","North Carolina","37","35,016","385.0"
"HIV prevalence","2022","North Dakota","38","545","84.3"
"HIV prevalence","2022","Ohio","39","24,501","246.1"
"HIV prevalence","2022","Oklahoma","40","7,264","217.0"
"HIV prevalence","2022","Oregon","41","7,553","206.5"
"HIV prevalence","2022","Pennsylvania","42","37,233","334.4"
"HIV prevalence","2022","Rhode Island","44","2,753","289.4"
"HIV prevalence","2022","South Carolina","45","18,442","409.6"
"HIV prevalence","2022","South Dakota","46","770","102.2"
"HIV prevalence","2022","Tennessee","47","19,351","324.2"
"HIV prevalence","2022","Texas","48","105,365","425.2"
"HIV prevalence","2022","Utah","49","3,619","132.5"
"HIV prevalence","2022","Vermont","50","757","133.2"
"HIV prevalence","2022","Virginia","51","24,886","337.8"
"HIV prevalence","2022","Washington","53","14,928","225.6"
"HIV prevalence","2022","West Virginia^","54","2,289","149.6"
"HIV prevalence","2022","Wisconsin","55","6,943","138.1"
"HIV prevalence","2022","Wyoming","56","379","77.1"
"HIV prevalence","2021","Alaska","02","750","123.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arizona","04","17,563","289.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","5,967","236.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","California","06","134,208","403.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Colorado","08","13,078","266.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Connecticut","09","10,516","340.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Delaware","10","3,417","404.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","District of Columbia","11","13,728","2398.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Florida","12","114,705","616.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Georgia","13","57,686","643.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Hawaii","15","2,363","192.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Idaho","16","1,272","83.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Illinois","17","35,683","330.3"
"HIV prevalence","2021","Illinois","17","35,666","331.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","Indiana","18","11,785","207.7"
"HIV prevalence","2021","Indiana","18","12,268","214.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Iowa","19","2,923","109.4"
"HIV prevalence","2021","Iowa","19","3,050","113.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kansas","20","3,300","135.3"
"HIV prevalence","2021","Kansas","20","3,484","142.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","7,757","204.7"
"HIV prevalence","2021","Kentucky","21","8,058","212.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Louisiana","22","21,219","547.7"
"HIV prevalence","2021","Louisiana","22","21,455","555.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Maine","23","1,647","138.5"
"HIV prevalence","2021","Maine","23","1,691","140.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Maryland","24","33,443","643.0"
"HIV prevalence","2021","Maryland","24","33,543","642.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Massachusetts","25","20,975","347.4"
"HIV prevalence","2021","Massachusetts","25","21,113","349.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Michigan","26","16,807","196.3"
"HIV prevalence","2021","Michigan","26","17,253","201.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Minnesota","27","8,969","187.7"
"HIV prevalence","2021","Minnesota","27","9,191","191.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","Mississippi^","28","9,614","388.7"
"HIV prevalence","2021","Mississippi^","28","9,804","396.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Missouri","29","12,788","246.9"
"HIV prevalence","2021","Missouri","29","13,010","249.9"
"HIV prevalence","2021","Montana","30","717","76.1"
"HIV prevalence","2021","Nebraska","31","2,363","145.6"
"HIV prevalence","2021","Nevada","32","11,366","427.2"
"HIV prevalence","2021","New Hampshire","33","1,362","112.3"
"HIV prevalence","2021","New Jersey","34","34,849","443.3"
"HIV prevalence","2021","New Mexico","35","4,004","223.3"
"HIV prevalence","2021","New York","36","124,060","731.5"
"HIV prevalence","2021","North Carolina","37","34,211","381.4"
"HIV prevalence","2021","North Dakota","38","534","82.9"
"HIV prevalence","2021","Ohio","39","23,979","241.0"
"HIV prevalence","2021","Oklahoma","40","6,913","208.3"
"HIV prevalence","2021","Oregon","41","7,462","203.8"
"HIV prevalence","2021","Pennsylvania","42","36,792","329.8"
"HIV prevalence","2021","Rhode Island","44","2,713","284.7"
"HIV prevalence","2021","South Carolina","45","17,987","407.0"
"HIV prevalence","2021","South Dakota","46","721","97.4"
"HIV prevalence","2021","Tennessee","47","18,712","317.6"
"HIV prevalence","2021","Texas","48","100,800","414.2"
"HIV prevalence","2021","Utah","49","3,440","128.2"
"HIV prevalence","2021","Vermont","50","729","128.5"
"HIV prevalence","2021","Virginia","51","24,196","329.8"
"HIV prevalence","2021","Washington","53","14,523","221.4"
"HIV prevalence","2021","West Virginia^","54","2,174","141.4"
"HIV prevalence","2021","Wisconsin","55","6,800","135.9"
"HIV prevalence","2021","Wyoming","56","374","76.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alaska","02","726","120.5"
"HIV prevalence","2019","Arizona","04","17,060","278.7"
"HIV prevalence","2019","Arkansas","05","5,837","231.8"
"HIV prevalence","2019","California","06","132,793","401.5"
"HIV prevalence","2019","Colorado","08","12,831","263.7"
"HIV prevalence","2019","Connecticut","09","10,521","343.5"
"HIV prevalence","2019","Delaware","10","3,367","405.4"
"HIV prevalence","2019","District of Columbia","11","13,971","2303.6"
"HIV prevalence","2019","Florida","12","113,278","613.5"
"HIV prevalence","2019","Georgia","13","56,487","638.2"
"HIV prevalence","2019","Hawaii","15","2,349","196.9"
"HIV prevalence","2019","Idaho","16","1,239","84.2"
"HIV prevalence","2019","Illinois","17","35,537","333.0"
"HIV prevalence","2019","Indiana","18","11,545","205.7"
"HIV prevalence","2019","Iowa","19","2,861","108.5"
"HIV prevalence","2019","Kansas","20","3,131","129.9"
"HIV prevalence","2019","Kentucky","21","7,459","198.8"
"HIV prevalence","2019","Louisiana","22","21,053","544.3"
"HIV prevalence","2019","Maine","23","1,641","140.1"
"HIV prevalence","2019","Maryland","24","33,269","653.3"
"HIV prevalence","2019","Massachusetts","25","20,826","350.5"
"HIV prevalence","2019","Michigan","26","16,535","195.2"
"HIV prevalence","2019","Minnesota","27","8,774","186.5"
"HIV prevalence","2019","Mississippi^","28","9,588","386.7"
"HIV prevalence","2019","Missouri","29","12,697","246.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Montana","30","679","73.6"
"HIV prevalence","2019","Nebraska","31","2,199","138.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nebraska","31","2,299","142.1"
"HIV prevalence","2019","Nevada","32","10,594","409.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nevada","32","10,944","417.2"
"HIV prevalence","2019","New Hampshire","33","1,297","109.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Hampshire","33","1,317","109.5"
"HIV prevalence","2019","New Jersey","34","34,556","460.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Jersey","34","34,630","441.4"
"HIV prevalence","2019","New Mexico","35","3,764","213.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Mexico","35","3,878","217.2"
"HIV prevalence","2019","New York","36","125,303","756.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","New York","36","124,404","726.4"
"HIV prevalence","2019","North Carolina","37","32,828","370.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","North Carolina","37","33,391","377.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","North Dakota","38","517","80.3"
"HIV prevalence","2019","Ohio","39","23,008","233.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Ohio","39","23,465","235.5"
"HIV prevalence","2019","Oklahoma","40","6,349","194.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Oklahoma","40","6,584","200.2"
"HIV prevalence","2019","Oregon","41","7,230","201.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Oregon","41","7,313","201.1"
"HIV prevalence","2019","Pennsylvania","42","36,229","331.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Pennsylvania","42","36,400","327.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Rhode Island","44","2,671","281.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","South Carolina","45","17,669","405.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","South Dakota","46","689","94.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Tennessee","47","18,321","313.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Texas","48","97,429","406.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Utah","49","3,266","124.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Vermont","50","711","126.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Virginia","51","23,726","325.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Washington","53","14,206","217.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","West Virginia^","54","2,092","135.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Wisconsin","55","6,585","131.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Wyoming","56","354","73.1"
"HIV prevalence","2019","Alaska","02","716","119.2"
"HIV prevalence","2018","Arizona","04","16,331","272.5"
"HIV prevalence","2018","Arkansas","05","5,633","224.7"
"HIV prevalence","2018","California","06","130,259","394.9"
"HIV prevalence","2018","Colorado","08","12,476","260.2"
"HIV prevalence","2018","Connecticut","09","10,424","340.0"
"HIV prevalence","2018","Delaware","10","3,283","400.0"
"HIV prevalence","2018","District of Columbia","11","13,999","2319.4"
"HIV prevalence","2018","Florida","12","111,025","609.1"
"HIV prevalence","2018","Georgia","13","54,568","624.7"
"HIV prevalence","2018","Hawaii","15","2,330","194.5"
"HIV prevalence","2018","Idaho","16","1,166","81.2"
"HIV prevalence","2018","Illinois","17","35,393","330.8"
"HIV prevalence","2018","Indiana","18","11,317","202.9"
"HIV prevalence","2018","Iowa","19","2,766","105.4"
"HIV prevalence","2018","Kansas","20","3,067","127.5"
"HIV prevalence","2018","Kentucky","21","7,161","191.4"
"HIV prevalence","2018","Louisiana","22","20,583","532.3"
"HIV prevalence","2018","Maine","23","1,605","137.8"
"HIV prevalence","2018","Maryland","24","33,066","651.2"
"HIV prevalence","2018","Massachusetts","25","20,551","346.9"
"HIV prevalence","2018","Michigan","26","15,943","188.4"
"HIV prevalence","2018","Minnesota","27","8,512","182.3"
"HIV prevalence","2018","Mississippi^","28","9,314","376.0"
"HIV prevalence","2018","Missouri","29","12,475","242.8"
"HIV prevalence","2019","Montana","30","654","72.2"
"HIV prevalence","2018","Nebraska","31","2,139","135.4"
"HIV prevalence","2018","Nevada","32","10,023","395.7"
"HIV prevalence","2018","New Hampshire","33","1,242","105.5"
"HIV prevalence","2018","New Jersey","34","34,180","455.4"
"HIV prevalence","2018","New Mexico","35","3,590","205.1"
"HIV prevalence","2018","New York","36","125,305","754.3"
"HIV prevalence","2018","North Carolina","37","31,561","360.7"
"HIV prevalence","2019","North Dakota","38","490","77.9"
"HIV prevalence","2018","Ohio","39","22,178","225.5"
"HIV prevalence","2018","Oklahoma","40","6,119","188.2"
"HIV prevalence","2018","Oregon","41","7,020","197.2"
"HIV prevalence","2018","Pennsylvania","42","35,662","326.4"
"HIV prevalence","2018","Rhode Island","44","2,593","283.6"
"HIV prevalence","2019","Rhode Island","44","2,656","290.4"
"HIV prevalence","2018","South Carolina","45","16,783","390.6"
"HIV prevalence","2019","South Carolina","45","17,349","397.9"
"HIV prevalence","2019","South Dakota","46","645","88.6"
"HIV prevalence","2018","Tennessee","47","17,321","304.1"
"HIV prevalence","2019","Tennessee","47","17,802","309.7"
"HIV prevalence","2018","Texas","48","91,441","392.3"
"HIV prevalence","2019","Texas","48","94,849","400.8"
"HIV prevalence","2018","Utah","49","2,938","118.3"
"HIV prevalence","2019","Utah","49","3,088","121.7"
"HIV prevalence","2019","Vermont","50","706","129.7"
"HIV prevalence","2018","Virginia","51","22,770","317.7"
"HIV prevalence","2019","Virginia","51","23,442","324.9"
"HIV prevalence","2018","Washington","53","13,471","213.1"
"HIV prevalence","2019","Washington","53","13,883","216.7"
"HIV prevalence","2018","West Virginia^","54","1,864","120.6"
"HIV prevalence","2019","West Virginia^","54","1,972","128.1"
"HIV prevalence","2018","Wisconsin","55","6,229","127.0"
"HIV prevalence","2019","Wisconsin","55","6,432","130.5"
"HIV prevalence","2019","Wyoming","56","346","71.4"
"HIV prevalence","2018","Alaska","02","698","116.0"
"HIV prevalence","2018","Montana","30","633","70.6"
"HIV prevalence","2018","North Dakota","38","449","71.7"
"HIV prevalence","2018","South Dakota","46","604","83.9"
"HIV prevalence","2018","Vermont","50","698","128.3"
"HIV prevalence","2018","Wyoming","56","348","72.3"
